date,equity,equity_no_filter,position,vix,vix_filter,peak,drawdown,peak_no_filter,drawdown_no_filter
2016-12-21 14:45:00,1851610.0000000128,1504892.500000006,60.0,11.27000046,True,2611005.000000003,29.084394706252542,2917465.0000000005,48.417804498082894
2016-12-22 14:45:00,1839595.0000000123,1495092.500000006,61.0,11.43000031,True,2611005.000000003,29.54456234285226,2917465.0000000005,48.75371255524896
2016-12-23 14:45:00,1845620.0000000123,1499917.5000000058,66.0,11.43999958,True,2611005.000000003,29.313808284549037,2917465.0000000005,48.58832925159323
2016-12-27 14:45:00,1862030.0000000123,1513327.5000000058,60.0,11.98999977,True,2611005.000000003,28.685314658531475,2917465.0000000005,48.128683634593536
2016-12-28 14:45:00,1805780.0000000123,1468312.5000000063,60.0,12.94999981,True,2611005.000000003,30.83965752650759,2917465.0000000005,49.67163273595378
2016-12-29 14:45:00,1804925.000000013,1467625.0000000056,67.0,13.36999989,True,2611005.000000003,30.8724035381008,2917465.0000000005,49.695197714453975
2016-12-30 14:45:00,1777272.500000013,1445335.0000000058,66.0,14.03999996,True,2611005.000000003,31.931478491997865,2917465.0000000005,50.45921716284495
2017-01-03 14:45:00,1829022.5000000135,1486877.5000000042,81.0,12.85000038,True,2611005.000000003,29.949483053459815,2917465.0000000005,49.03529262561834
2017-01-04 14:45:00,1879587.5000000135,1528067.5000000044,77.0,11.85000038,True,2611005.000000003,28.012872438007147,2917465.0000000005,47.62345049554993
2017-01-05 14:45:00,1872715.0000000123,1522522.500000003,86.0,11.67000008,True,2611005.000000003,28.276085262187916,2917465.0000000005,47.81351275850772
2017-01-06 14:45:00,1909130.0000000119,1552167.5000000019,95.0,11.31999969,True,2611005.000000003,26.88141156374615,2917465.0000000005,46.797390885580405
2017-01-09 14:45:00,1875865.0000000119,1525217.5000000019,94.0,11.56000042,True,2611005.000000003,28.155442061581276,2917465.0000000005,47.72113804278709
2017-01-10 14:45:00,1871165.0000000119,1521352.5000000019,94.0,11.48999977,True,2611005.000000003,28.335449376772164,2917465.0000000005,47.85361606737351
2017-01-11 14:45:00,1901625.0000000119,1545977.5000000019,88.0,11.26000023,True,2611005.000000003,27.16884877662012,2917465.0000000005,47.00956138291285
2017-01-12 14:45:00,1878495.0000000119,1527325.0000000019,86.0,11.53999996,True,2611005.000000003,28.0547145639319,2917465.0000000005,47.6489006723302
2017-01-13 14:45:00,1898785.0000000119,1543845.0000000019,77.0,11.22999954,True,2611005.000000003,27.277619154309935,2917465.0000000005,47.082655661678835
2017-01-17 14:45:00,1869895.0000000133,1520220.0000000019,78.0,11.86999989,True,2611005.000000003,28.384089651302418,2917465.0000000005,47.892434013775606
2017-01-18 14:45:00,1886290.0000000133,1533472.5000000019,66.0,12.47999954,True,2611005.000000003,27.75617051671631,2917465.0000000005,47.438186919123225
2017-01-19 14:45:00,1860520.0000000133,1512382.500000002,53.0,12.77999973,True,2611005.000000003,28.743146795965107,2917465.0000000005,48.16107476867754
2017-01-20 14:45:00,1880305.0000000142,1528432.5000000019,59.0,11.53999996,True,2611005.000000003,27.985392597868934,2917465.0000000005,47.610939634237205
2017-01-23 14:45:00,1866247.5000000142,1516987.5000000019,56.0,11.77000046,True,2611005.000000003,28.52378681771915,2917465.0000000005,48.00323225814186
2017-01-24 14:45:00,1905327.5000000144,1548382.500000002,64.0,11.06999969,True,2611005.000000003,27.027045141621237,2917465.0000000005,46.9271268035777
2017-01-25 14:45:00,1965962.5000000137,1597647.500000002,75.0,10.81000042,True,2611005.000000003,24.704759278514913,2917465.0000000005,45.23850328967093
2017-01-26 14:45:00,1958372.5000000135,1591472.5000000019,81.0,10.63000011,True,2611005.000000003,24.995451942833835,2917465.0000000005,45.45015964201793
2017-01-27 14:45:00,1945090.0000000135,1580642.5000000016,73.0,10.57999992,True,2611005.000000003,25.50416410539193,2917465.0000000005,45.82137232151881
2017-01-30 14:45:00,1893960.0000000133,1539327.5000000019,71.0,11.88000011,True,2611005.000000003,27.462413898096276,2917465.0000000005,47.23749899313268
2017-01-31 14:45:00,1892997.5000000126,1538542.5000000014,76.0,11.98999977,True,2611005.000000003,27.499277098281677,2917465.0000000005,47.26440591403835
