final_equity,total_return_pct,cagr_pct,max_dd_pct,sharpe_ratio,total_trades,win_rate_pct,profit_factor,levamount,long_bias,low_vol_offset,low_vol_days,high_vol_offset,high_vol_days
150970617.50000077,9964.707833333385,34.70524326196347,69.769758080553,0.8126854558387268,3909,36.658992069583014,1.523460490295346,5,3,3,9,1,5
149206907.5000002,9847.127166666682,34.60302039005481,73.03356647758534,0.7829931329416889,3901,37.14432196872597,1.4441790803243963,12,3,4,9,1,5
149103064.9999993,9840.204333333288,34.59696660730089,73.0326830196159,0.7852861326784342,3897,37.07980497818835,1.4639696229898367,10,3,4,9,1,5
148071065.00000092,9771.404333333394,34.536588054399786,73.83651796929911,0.7820555532160868,3913,35.95706618962433,1.459758941019848,12,3,5,9,1,5
147857404.99999988,9757.160333333326,34.524038418782,73.83492765766265,0.7842438892447106,3916,35.929519918283965,1.4797035296926049,10,3,5,9,1,5
146502809.99999967,9666.853999999978,34.44407734328425,69.8301059937745,0.8092650421608416,3900,37.1025641025641,1.4782400285886188,5,3,4,10,1,5
146454112.5000008,9663.607500000053,34.4411898942379,72.52016410126532,0.7862134617764778,3896,36.935318275154,1.5073474224211219,8,3,3,9,1,5
145651837.49999997,9610.122499999998,34.39349041331663,73.02064867011535,0.7798343373369816,3898,37.095946639302205,1.4231790365855184,20,3,4,9,1,5
145651837.49999997,9610.122499999998,34.39349041331663,73.02064867011535,0.7798343373369816,3898,37.095946639302205,1.4231790365855184,18,3,4,9,1,5
144939167.50000045,9562.611166666697,34.35091184825308,73.02482058167699,0.7793819625498907,3898,37.095946639302205,1.4230669299833667,15,3,4,9,1,5
144641602.5000005,9542.773500000034,34.333075806387356,73.84188503050497,0.7789490871180962,3916,35.9805924412666,1.4384695135270382,18,3,5,9,1,5
144641602.5000005,9542.773500000034,34.333075806387356,73.84188503050497,0.7789490871180962,3916,35.9805924412666,1.4384695135270382,20,3,5,9,1,5
143873077.4999999,9491.538499999995,34.2868511437449,73.83613678686578,0.7784878223615024,3915,35.98978288633461,1.4382593332674483,15,3,5,9,1,5
141022090.00000063,9301.472666666708,34.11333020465026,72.39779719706297,0.7821721728720687,3888,37.26851851851852,1.4614199358924096,8,3,4,10,1,5
137834994.9999998,9088.999666666654,33.91542465933066,72.90928715336253,0.7747869743583137,3896,36.98665297741273,1.4599542203757243,12,3,3,9,1,5
137827430.00000006,9088.495333333338,33.91494983211294,72.90291976518704,0.7770645880986035,3896,36.935318275154,1.4813311887881884,10,3,3,9,1,5
