final_equity,total_return_pct,cagr_pct,max_dd_pct,sharpe_ratio,total_trades,win_rate_pct,profit_factor,low_vol_bias,high_vol_bias,low_vol_offset,low_vol_days,high_vol_offset,high_vol_days,low_vol_bars,high_vol_bars
4542875.0000000065,202.85833333333377,7.420934276466062,76.53450292397652,0.42264979320879903,3731,35.67408201554543,1.1004954361665962,2,0,5,9,2,3,2791,1208
4534885.000000082,202.32566666667213,7.408718900497302,89.99414733135063,0.5198199171892146,3833,38.01200104356901,1.0286134878567537,3,1,3,8,1,2,2791,1208
4529734.999999974,201.98233333333158,7.400834735903894,72.75716361097442,0.3883923055438542,3810,35.669291338582674,1.08216996761277,4,0,5,9,2,7,2791,1208
4515442.499999941,201.02949999999612,7.378910260726657,69.52582609817676,0.38760456427749895,3782,36.03913273400317,1.0801749472960418,4,0,4,9,2,7,2791,1208
4507140.000000031,200.47600000000205,7.366144528433494,90.60929039292077,0.42999430750597395,3742,36.47781934794227,1.068592898737845,4,0,5,10,2,4,2791,1208
4490187.499999961,199.34583333333075,7.340010302172639,78.51808861232102,0.41011151149238684,3882,34.69860896445132,1.071327730408523,4,1,3,5,2,6,2791,1208
4463917.5,197.5945,7.299329185019099,77.33305452144506,0.4076019552389697,3836,35.714285714285715,1.07151762212565,5,0,5,8,2,7,2791,1208
4460887.499999946,197.3924999999964,7.294622601135892,90.97697479236243,0.4524111839004875,3827,35.85053566762477,1.057914011899381,5,0,3,6,2,4,2791,1208
4451722.500000024,196.7815000000016,7.280368125768999,75.96007610097011,0.40646701790665946,3804,35.98843322818086,1.0683042334708817,5,0,4,8,2,7,2791,1208
4449840.000000027,196.6560000000018,7.277436844586949,89.99626839785108,0.5186102970052914,3827,38.20224719101123,1.0268291049740723,3,1,4,10,1,2,2791,1208
4444889.999999974,196.32599999999826,7.269723554560659,75.93325833370059,0.3910369611617901,3862,33.63542206110823,1.0908725046871093,3,0,3,4,2,5,2791,1208
4442419.999999964,196.16133333333093,7.265871695290715,69.12102685603372,0.3843955724841783,3778,34.19798835362626,1.1229852337832207,2,1,5,9,2,6,2791,1208
4411332.4999999665,194.08883333333108,7.2172200338286085,89.94287163105895,0.5177709397957653,3837,37.99843627834246,1.027586048294663,3,1,5,10,1,2,2791,1208
4406922.500000003,193.79483333333351,7.210292464250556,69.16319256171164,0.38305690003064496,3768,34.58067940552017,1.120544020566113,2,1,4,9,2,6,2791,1208
4395510.000000003,193.0340000000002,7.192334675900902,90.01852679463225,0.5199232895131838,3878,34.60546673543063,1.0279461858544086,3,1,5,6,1,2,2791,1208
